Time,ADS Pressure,P/F ratio,Purity
221,3.58,2.74E-07,0.966416
221,3.58,2.74E-07,0.954682
221,3.58,2.74E-07,0.951239
221,3.58,2.74E-07,0.950472
221,3.58,2.74E-07,0.951928
221,3.58,2.74E-07,0.950368
221,3.58,2.74E-07,0.950448
221,3.58,2.74E-07,0.950481
221,3.58,2.74E-07,0.950507
195,4.28,1.82E-07,0.983166
195,4.28,1.82E-07,0.994167
195,4.28,1.82E-07,0.995968
195,4.28,1.82E-07,0.996482
195,4.28,1.82E-07,0.996466
190,4.68,1.73E-07,0.995856
190,4.68,1.73E-07,0.995944
190,4.68,1.73E-07,0.995997
190,4.68,1.73E-07,0.996026
190,4.68,1.73E-07,0.996287
187,4.74,1.91E-07,0.995863
187,4.74,1.91E-07,0.995776
187,4.74,1.91E-07,0.995997
187,4.74,1.91E-07,0.996037
187,4.74,1.91E-07,0.995816
187,4.74,1.91E-07,0.995757
187,4.74,1.91E-07,0.996161
187,4.74,1.91E-07,0.995838
187,4.74,1.91E-07,0.995773
187,4.74,1.91E-07,0.995996
189,4.82,2.25E-07,0.996027
189,4.82,2.25E-07,0.995734
189,4.82,2.25E-07,0.995894
189,4.82,2.25E-07,0.995695
189,4.82,2.25E-07,0.995655
199,4.66,1.76E-07,0.996388
199,4.66,1.76E-07,0.996555
199,4.66,1.76E-07,0.996793
199,4.66,1.76E-07,0.996618
199,4.66,1.76E-07,0.996575
179,3.89,1.69E-07,0.996497
179,3.89,1.69E-07,0.996509
179,3.89,1.69E-07,0.996732
179,3.89,1.69E-07,0.996588
179,3.89,1.69E-07,0.996569
179,3.89,1.69E-07,0.996754
179,3.89,1.69E-07,0.99661
179,3.89,1.69E-07,0.996764
179,3.89,1.69E-07,0.996613
179,3.89,1.69E-07,0.996576
206,3.92,1.80E-07,0.997412
206,3.92,1.80E-07,0.995765
206,3.92,1.80E-07,0.99394
206,3.92,1.80E-07,0.993028
206,3.92,1.80E-07,0.992264
211,3.14,2.34E-07,0.976782
211,3.14,2.34E-07,0.960757
211,3.14,2.34E-07,0.954489
211,3.14,2.34E-07,0.952853
211,3.14,2.34E-07,0.952488
213,3.85,1.71E-07,0.969959
213,3.85,1.71E-07,0.982077
213,3.85,1.71E-07,0.986046
213,3.85,1.71E-07,0.986872
213,3.85,1.71E-07,0.987248
213,3.85,1.71E-07,0.988181
213,3.85,1.71E-07,0.98753
213,3.85,1.71E-07,0.987505
213,3.85,1.71E-07,0.987505
213,3.85,1.71E-07,0.987539
193,4.13,2.41E-07,0.993106
193,4.13,2.41E-07,0.995968
193,4.13,2.41E-07,0.996832
193,4.13,2.41E-07,0.997275
193,4.13,2.41E-07,0.997006
228,3.23,2.29E-07,0.971247
228,3.23,2.29E-07,0.921193
228,3.23,2.29E-07,0.904606
228,3.23,2.29E-07,0.901002
228,3.23,2.29E-07,0.900323
186,3.67,1.77E-07,0.972464
186,3.67,1.77E-07,0.992892
186,3.67,1.77E-07,0.996019
186,3.67,1.77E-07,0.996689
186,3.67,1.77E-07,0.996945
186,3.67,1.77E-07,0.997369
186,3.67,1.77E-07,0.997328
186,3.67,1.77E-07,0.997522
186,3.67,1.77E-07,0.997396
186,3.67,1.77E-07,0.997201
216,3.53,1.98E-07,0.991819
216,3.53,1.98E-07,0.973954
216,3.53,1.98E-07,0.964773
216,3.53,1.98E-07,0.961065
216,3.53,1.98E-07,0.960138
196,4.08,2.07E-07,0.985469
196,4.08,2.07E-07,0.99415
196,4.08,2.07E-07,0.995907
196,4.08,2.07E-07,0.996659
196,4.08,2.07E-07,0.996694
221,3.84,1.85E-07,0.991421
221,3.84,1.85E-07,0.976896
221,3.84,1.85E-07,0.969212
221,3.84,1.85E-07,0.966581
221,3.84,1.85E-07,0.966047
221,3.84,1.85E-07,0.967159
221,3.84,1.85E-07,0.965886
221,3.84,1.85E-07,0.965896
221,3.84,1.85E-07,0.965915
221,3.84,1.85E-07,0.965871
193,3.79,2.49E-07,0.986182
193,3.79,2.49E-07,0.994782
193,3.79,2.49E-07,0.996398
193,3.79,2.49E-07,0.996901
193,3.79,2.49E-07,0.997074
214,3.12,2.20E-07,0.986267
214,3.12,2.20E-07,0.951944
214,3.12,2.20E-07,0.936429
214,3.12,2.20E-07,0.931836
214,3.12,2.20E-07,0.931103
191,3.51,1.69E-07,0.975025
191,3.51,1.69E-07,0.992099
191,3.51,1.69E-07,0.995341
191,3.51,1.69E-07,0.996339
191,3.51,1.69E-07,0.9967
191,3.51,1.69E-07,0.997012
191,3.51,1.69E-07,0.996914
191,3.51,1.69E-07,0.996922
191,3.51,1.69E-07,0.996932
191,3.51,1.69E-07,0.996937
223,3.48,2.43E-07,0.97849
223,3.48,2.43E-07,0.949461
223,3.48,2.43E-07,0.939287
223,3.48,2.43E-07,0.936
223,3.48,2.43E-07,0.935381
216,4.34,2.64E-07,0.970553
216,4.34,2.64E-07,0.985157
216,4.34,2.64E-07,0.988554
216,4.34,2.64E-07,0.989685
216,4.34,2.64E-07,0.990316
199,4.24,1.87E-07,0.993142
199,4.24,1.87E-07,0.995623
199,4.24,1.87E-07,0.996353
199,4.24,1.87E-07,0.996609
199,4.24,1.87E-07,0.996702
199,4.24,1.87E-07,0.997172
199,4.24,1.87E-07,0.996826
199,4.24,1.87E-07,0.996787
199,4.24,1.87E-07,0.996955
199,4.24,1.87E-07,0.996988
196,3.26,2.57E-07,0.997259
196,3.26,2.57E-07,0.995814
196,3.26,2.57E-07,0.994509
196,3.26,2.57E-07,0.993828
196,3.26,2.57E-07,0.99352
194,3.28,1.99E-07,0.993981
194,3.28,1.99E-07,0.994458
194,3.28,1.99E-07,0.994665
194,3.28,1.99E-07,0.994739
194,3.28,1.99E-07,0.994775
201,3.15,1.70E-07,0.991041
201,3.15,1.70E-07,0.986923
201,3.15,1.70E-07,0.985061
201,3.15,1.70E-07,0.984321
201,3.15,1.70E-07,0.984028
201,3.15,1.70E-07,0.984544
201,3.15,1.70E-07,0.983898
201,3.15,1.70E-07,0.983905
201,3.15,1.70E-07,0.983909
201,3.15,1.70E-07,0.983902
195,4.43,2.27E-07,0.991591
